0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 
0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 
0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 
0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 
0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 0.999999-0.000010i , 

0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 
0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 
0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 
0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 
0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 0.999332+0.036512i , 

0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 
0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 
0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 
0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 
0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 0.997332+0.072986i , 

0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 
0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 
0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 
0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 
0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 0.994001+0.109361i , 

0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 
0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 
0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 
0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 
0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 0.989344+0.145591i , 

