1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 
1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 
1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 
1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 
1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 1.000000+0.000010i , 

0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 
0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 
0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 
0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 
0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 

0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 
0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 
0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 
0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 
0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 0.997332+0.073005i , 

0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 
0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 
0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 
0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 
0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 0.994000+0.109381i , 

0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 
0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 
0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 
0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 
0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 0.989342+0.145611i , 

