0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 
0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 
0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 
0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 
0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 0.999990+0.004392i , 

0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 
0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 
0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 
0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 
0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 0.999163+0.040911i , 

0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 
0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 
0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 
0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 
0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 0.997002+0.077375i , 

0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 
0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 
0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 
0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 
0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 0.993511+0.113736i , 

0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 
0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 
0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 
0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 
0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 0.988694+0.149945i , 

