0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 
0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 
0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 
0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 
0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 0.999999+0.000010i , 

0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 
0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 
0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 
0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 
0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 0.999332+0.036532i , 

0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 
0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 
0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 
0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 
0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 0.997331+0.073005i , 

0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 
0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 
0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 
0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 
0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 0.993999+0.109381i , 

0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 
0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 
0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 
0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 
0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 0.989341+0.145611i , 

